Name,Total Prints,Black & WhiteTotal(Printer),Black & WhiteTotal(Copier/Document Server),Black & White(Large size)(Printer)
18001AA_Kenya1_AMI00,0,0,0,0
12062AA_Kenya1_BMG00,0,0,0,0
13126BB_Kenya1_BMG,0,0,0,0
20520AA_Kenya1_BMG,0,0,0,0
20521AA_Kenya1_BMG,0,0,0,0
20519AA_Kenya1_BMG,0,0,0,0
20788AA_Kenya1_BMG,0,0,0,0
13104BC_Kenya1_BUU,0,0,0,0
18001AB_Kenya1_CEP,70,70,0,0
13050AC_Kenya1_HAR,0,0,0,0
20475AA­_Kenya1_ IFP,0,0,0,0
20109AA_Kenya1_IGC19,0,0,0,0
13074BD_Kenya1_IZA,0,0,0,0
12069AA_Kenya1_IZA,0,0,0,0
13090AC_Kenya1_JIC,0,0,0,0
13074AB_Kenya1_MIT00,0,0,0,0
20213AA_Kenya1_MIT,0,0,0,0
19340AA_Kenya1_MIT,0,0,0,0
20411AA_Kenya1_MIT,0,0,0,0
20095AA_Kenya1_MoPSY,186,186,0,0
19294AA_Kenya1_MSU00,0,0,0,0
13073AB_Kenya1_OXU00,0,0,0,0
13126CC_Kenya1_RWJF,0,0,0,0
13126CD_Kenya1_UCAT,0,0,0,0
06153AB_Kenya1_UCB00,0,0,0,0
13074AA_Kenya1_UCB,37192,23091,14101,0
19340AC_Kenya1_UCB,0,0,0,0
20739AB_Kenya1_ UCLA,0,0,0,0
19282AB_Kenya1_UNCCH,0,0,0,0
20356AA_Kenya1_UTAus,60,60,0,0
13073AC_Kenya1_VIT,0,0,0,0
13054EB_Kenya1_WBK,0,0,0,0
20095AC_Kenya1_WEL,0,0,0,0
20654AD_Kenya1_WEL,0,0,0,0
Shared Direct-Admin,7906,5972,1934,1
Shared Direct-Data,0,0,0,0
Shared Direct-Financ,0,0,0,0
Shared Direct-Execut,0,0,0,0
Shared Direct-HR,184,178,6,0
Shared Direct-IT,11,10,1,0
Shared Direct-Operat,0,0,0,0
Shared Direct-Procur,18,18,0,0
UNRESTR_Shared Direc,0,0,0,0
20696AA_Kenya1_SFU-2,0,0,0,0
20095AB_Kenya1_WEL26,0,0,0,0
20760AA-Kenya1_EGF-2,0,0,0,0
19333AA_Kenya1_UWM,0,0,0,0
20760AA_Kenya1_EGF,0,0,0,0
20356AB_Kenya1_NBE,0,0,0,0
13052AC_Kenya1_WEL,0,0,0,0
20776AA_Kenya1_ JH,0,0,0,0
20788AA_Kenya1_BMG,0,0,0,0
13074BC_Kenya1_ EI,0,0,0,0
13050AD_Kenya1_UCH,675,675,0,0
Kenya1_PATH-21-10001,0,0,0,0
19340AE_MIT-20064,227,126,101,0
Kenya1_21-10001,20274,19333,941,0
Kenya1_22-10002,60239,59820,419,0
Kenya1_JH-21-10002,0,0,0,0
KYEOP- BMG-10003,0,0,0,0
Kenya1_JHU-22-10001,2,2,0,0
ScRdOw-22-10001,394,394,0,0
Kenya1_UCLA-22-20013,6849,6512,337,0
Kenya1_22-20012,5,5,0,0
Kenya1_WSU-22-10001,16966,4313,12653,0
Kenya1_EI-21-10002,8013,6766,1247,0
Kenya1_PU-21-10001,285,285,0,0
Kenya1_ACRE-21-10001,3138,0,3138,0
Kenya1_WAG-22-10001,2606,482,2124,0
Kenya1_IKEA-22-10002,11478,11445,33,0
Kenya1_UCB-22-20021,141042,132534,8508,48303
Kenya1_UCH-22-10014,339,338,1,0
Comp-GIZ-21-10004,35,35,0,0
Kenya1_UCH-22-10016,395,379,16,0
Kenya1_UCH-22-10016,0,0,0,0
Kenya1_ IFP-22-10007,0,0,0,0
Kenya1_ IFP-22-10007,13172,1814,11358,0
Kenya1_STA-23-10016,995,592,403,0
Kenya1_HAR-21-10011,154,154,0,0
Kenya1_GB-22-10002,111,49,62,0
Kenya1_UNIVE-23-1000,1462,1434,28,0
21734AA_Kenya1_IFP-2,195,167,28,0
Kenya1_MONT2-23-1000,3344,2512,832,1
Kenya1_ACRE-24-10003,3318,3113,205,0
Kenya1_MIT-24-20105,28696,26183,2513,0
Kenya1_ EI-24-10003,5658,5623,35,2
NBE-20-10003,5042,4994,48,0
BMG-24-10015_22389AC,1048,1037,11,0
UNINA-24-10002_19340,144,143,1,0
19340AL_UNIVE-25-,965,963,2,0
PLAN-25-10002 22112A,775,770,5,0
Kenya1_IGC-PI24-2004,47,47,0,0
22317AA_BMG-24-10017,0,0,0,0
22317AB_BMG-24-10017,210,209,1,0
Kenya1_IRC-24-10007,26,26,0,0
BMG-25-20360_22505AA,2610,2608,2,0
MIT-25-20111_22368AB,0,0,0,0
