User,Name,Total Prints,B & W(Total Prints),Color (Total Prints),B & W:Result(Total Prints),Color :Result(Total Prints),Black & WhiteTotal(Copier/Document Server),Black & White(Small size)(Copier/Document Server),Black & White(Large size)(Copier/Document Server),Single ColorTotal(Copier/Document Server),Single Color(Small size)(Copier/Document Server),Single Color(Large size)(Copier/Document Server),Two-colorTotal(Copier/Document Server),Two-color(Small size)(Copier/Document Server),Two-color(Large size)(Copier/Document Server),Full ColorTotal(Copier/Document Server),Full Color(Small size)(Copier/Document Server),Full Color(Large size)(Copier/Document Server),Black & WhiteTotal(Printer),Black & White(Small size)(Printer),Black & White(Large size)(Printer),Single ColorTotal(Printer),Single Color(Small size)(Printer),Single Color(Large size)(Printer),Two-colorTotal(Printer),Two-color(Small size)(Printer),Two-color(Large size)(Printer),Color Total(Printer),Color (Small size)(Printer),Color (Large size)(Printer),ScannerTotal(Scanner),Black & WhiteTotal(Scanner),Black & White(Small size)(Scanner),Black & White(Large size)(Scanner),Full ColorTotal(Scanner),Full Color(Small size)(Scanner),Full Color(Large size)(Scanner),Black & WhiteTotal(Fax),Black & White(Small size)(Fax),Black & White(Large size)(Fax),Color Total(Fax),Color (Small size)(Fax),Color (Large size)(Fax),Transmission Pages(Fax),Transmission Charge(Fax),Volume Used(Print Volume Use Limitation),Limit Value(Print Volume Use Limitation),Previous Volume Used(Print Volume Use Limitation),Last Reset Date(Print Volume Use Limitation),Black(Development),Color (YMC)(Development),2 sided Sheets(Copier/Document Server),Combined Pages(Copier/Document Server),2 sided Sheets(Printer),Combined Pages(Printer)
"[5837]","[18001AA_Kenya1_AMI00]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[5732]","[12062AA_Kenya1_BMG00]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[8829]","[13126BB_Kenya1_BMG]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[9288]","[20520AA_Kenya1_BMG]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[9224]","[20521AA_Kenya1_BMG]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[5093]","[20519AA_Kenya1_BMG]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[7831]","[20788AA_Kenya1_BMG]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[7350]","[13104BC_Kenya1_BUU]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[6321]","[18001AB_Kenya1_CEP]",70,70,-,70,-,0,0,0,-,-,-,-,-,-,-,-,-,70,70,0,-,-,-,-,-,-,-,-,-,55,0,0,0,55,55,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
"[6791]","[13050AC_Kenya1_HAR]",0,0,-,0,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,-,0,-,-,-,-,"--/--/---- --:--",-,-,0,0,0,0
